con1,region,tam_loc,tiene_sistema_tren,sexo,edad,escolaridad,ingreso_familiar,condicion_actividad,tiene_auto,modo_principal,tp_eficiente,tp_rapido,tp_barato,tp_seguro,tp_comodo,contamina_su_modo,contamina_aire
1,region_3,100mil_mas,no,mujer,25-34,primaria,1-2sm,no_ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,mucho
2,region_3,100mil_mas,no,mujer,45-54,preparatoria,mas_6sm,no_ocupado,si,ninguno,eficiente,rapido,barato,inseguro,incomodo,poco,poco
3,region_2,2500_14999,si,hombre,35-44,preparatoria,1-2sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,mucho,mucho
4,region_2,100mil_mas,si,mujer,18-24,universidad,no_declaro,ocupado,si,particular,eficiente,rapido,caro,inseguro,comodo,algo,mucho
6,region_3,15mil_99999,no,hombre,25-34,preparatoria,mas_6sm,ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,no_contamina,poco
7,region_4,100mil_mas,no,hombre,65+,secundaria,1-2sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,nada
8,region_1,15mil_99999,si,mujer,45-54,ninguna,4-5sm,no_ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,poco,poco
9,region_1,15mil_99999,si,hombre,55-64,primaria,3-4sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,nada
11,region_1,15mil_99999,no,hombre,25-34,preparatoria,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
12,region_1,100mil_mas,no,mujer,35-44,preparatoria,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,algo
13,region_3,100mil_mas,si,mujer,35-44,preparatoria,5-6sm,ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,mucho,algo
14,region_3,menos_2500,no,mujer,35-44,secundaria,1-2sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
